,model_name,model_type,z_dim,r2_train_all,r2_test_all,r2_train_sim,r2_test_sim,r2_train_exp,r2_test_exp
0,microBERT_model_task_id_214.pth,MCR,2,0.042255941606177,0.0415744297101432,-0.0356683095128353,-0.0354927919327026,0.0405929925113841,0.0401779905220335
0,microBERT_model_task_id_209.pth,MCR,4,0.6125003358924827,0.6113829910715883,0.6365000440051911,0.6317263007799081,0.5963752543054579,0.595878210421988
0,microBERT_model_task_id_138.pth,MCR,4,0.0418395453733113,0.0411357273398629,-0.0376734351730176,-0.0374579176161853,0.0406086414099223,0.0401695855005992
0,microBERT_model_task_id_63.pth,MCR,4,0.0411847864003958,0.0405280278878396,-0.0338203366182428,-0.0336790318481137,0.0386751035589175,0.0383123116693646
0,microBERT_model_task_id_208.pth,MCR,4,0.0421879808350676,0.0415088652789928,-0.0357917044049962,-0.0356082570028377,0.0405382341336276,0.0401275393317832
0,microBERT_model_task_id_139.pth,MCR,4,0.041864512790268,0.0411531715363913,-0.0350041256395845,-0.0348536079921464,0.0398968984084524,0.0394456242819397
0,microBERT_model_task_id_211.pth,MCR,4,0.6762361646296091,0.6755775720017645,0.7258976721311926,0.7216338132842597,0.654515493958447,0.6542646541561943
0,microBERT_model_task_id_68.pth,MCR,4,0.0409266349206414,0.0402299454195586,-0.0345402833075914,-0.0344340949847921,0.0385423344866665,0.0381262308270874
0,microBERT_model_task_id_207.pth,MCR,4,0.6703575209739965,0.6696771966963739,0.7199084569003737,0.7155639770807166,0.6485282993624437,0.6482510191096078
0,microBERT_model_task_id_140.pth,MCR,4,0.0419764166819234,0.0412850088213416,-0.0363243591708313,-0.0361546337479041,0.0404124778510952,0.0399848505574552
0,microBERT_model_task_id_210.pth,MCR,4,0.6847023364159536,0.683978607718346,0.7275520908723587,0.7234331217095558,0.6650925031987689,0.6647462774248808
0,microBERT_model_task_id_67.pth,MCR,4,0.0410834566704487,0.0404563634012468,-0.0321121682074714,-0.031868732261918,0.0380590632568598,0.0377308510468614
0,microBERT_model_task_id_212.pth,MCR,4,0.0421648811232218,0.0414907091916346,-0.0359408778081609,-0.0357666763132225,0.0405515569667921,0.0401416871680473
0,microBERT_model_task_id_136.pth,MCR,4,0.0419384106517624,0.04120145614694,-0.0389965651015891,-0.0388729903982643,0.0411152956365865,0.0406253461117636
0,microBERT_model_task_id_137.pth,MCR,4,0.041844194284544,0.0411927908754434,-0.0342470023857857,-0.034093623914515,0.0396589459714389,0.0392807376662385
0,microBERT_model_task_id_135.pth,MCR,4,0.0419000443044534,0.0411997216704066,-0.0369416480495725,-0.0368137027371442,0.0404894412901228,0.0400441439782419
0,microBERT_model_task_id_66.pth,MCR,4,0.0415562789589658,0.0408591259517835,-0.0365969744281287,-0.0363920899266301,0.0399382662450923,0.0395055642692778
0,microBERT_model_task_id_65.pth,MCR,4,0.041545673433743,0.0408699543631503,-0.0356887046995917,-0.035485811282828,0.0396690444200442,0.0392684363022095
0,microBERT_model_task_id_64.pth,MCR,4,0.0411999454490066,0.0405074111530479,-0.0395893406406335,-0.03933813279382,0.0403091545724961,0.0398853906941928
0,microBERT_model_task_id_131.pth,MCR,6,0.0419106183322739,0.041208990292101,-0.0373523440627669,-0.0371833148123361,0.0406142967829888,0.0401763313721729
0,microBERT_model_task_id_130.pth,MCR,6,0.0418957717398761,0.0412283668713346,-0.0330247753737524,-0.0327812944018364,0.0393751011001756,0.0389932034871894
0,microBERT_model_task_id_201.pth,MCR,6,0.832215340560283,0.8314671701012155,0.8408752731399753,0.8391805076211324,0.8256895097985678,0.8251728647464488
0,microBERT_model_task_id_129.pth,MCR,6,0.0418083627440986,0.0411483881307106,-0.0363725263914072,-0.0361838541577388,0.0402073239737897,0.0398122467451912
0,microBERT_model_task_id_60.pth,MCR,6,0.0402069631235163,0.0395940158212503,-0.0266931749426868,-0.0262992515597813,0.0353771186962471,0.03511983332912
0,microBERT_model_task_id_132.pth,MCR,6,0.0418191168630758,0.0411270495745433,-0.0410383466158814,-0.0408927831517982,0.0415356357671465,0.0410804347557985
0,microBERT_model_task_id_134.pth,MCR,6,0.0416607630038258,0.0409085572703513,-0.041469841748811,-0.0414312511056234,0.0414530584101281,0.0409340148404976
0,microBERT_model_task_id_203.pth,MCR,6,0.8454710272375754,0.844489990921131,0.842475668056216,0.8405909102320581,0.8425374297198014,0.8417687826315301
0,microBERT_model_task_id_202.pth,MCR,6,0.8197093282074444,0.8189107028044789,0.8253581440674881,0.823516356698694,0.8136991905211824,0.8132724839661845
0,microBERT_model_task_id_205.pth,MCR,6,0.8485405521876794,0.8476930867564259,0.8466865624361722,0.8448614111820185,0.845375982797534,0.8446945462041926
0,microBERT_model_task_id_59.pth,MCR,6,0.0414486089414631,0.0407812810495699,-0.0313399613942604,-0.0311261334823316,0.0383196410123868,0.0379441090190117
0,microBERT_model_task_id_62.pth,MCR,6,0.0410738415128431,0.0403138280493728,-0.044031402510821,-0.0439473123996208,0.0414058087233087,0.040862129477673
0,microBERT_model_task_id_204.pth,MCR,6,0.8613688063909182,0.8607637816234212,0.8608505021273154,0.8595697140866468,0.8581256340524801,0.8576963779888591
0,microBERT_model_task_id_58.pth,MCR,6,0.0413082231598681,0.0406755683787463,-0.0340000201157131,-0.0337615497872982,0.0388847618333592,0.0385351995637766
