,day,n_data,r2_raw,r2_lat
126,54,14,0.018877347689094992,0.31634982440737514
127,54,7,0.5884599632717757,0.3808765096618357
128,54,4,0.2870282669509736,0.3431021174863389
129,54,2,0.4458198761304709,0.2781548913043479
130,55,28,0.14009986117850814,0.35467007478632495
131,55,14,-0.0541012931871363,0.26859575250836165
132,55,7,0.6916044073993292,0.42809241151356536
133,55,4,0.1617032696683227,0.34810364145658246
134,55,2,0.45318567057125936,0.35753441295546573
135,56,28,0.29985069844715617,0.4456313596491228
136,56,14,0.30735270921755076,0.37123707459207445
137,56,7,0.5479761532696104,0.491000857142857
138,56,4,0.11995397968282229,0.23103616666666682
139,56,2,0.2515284819966679,0.2826329365079365
140,57,28,0.5027876524923911,0.36794106908326774
141,57,14,0.6198232589470541,0.3992881191950465
142,57,7,0.7777841674324217,0.40044780074191855
143,57,4,0.23022237623716235,0.3921013424087729
144,57,2,0.5807019942816253,0.4031922503725782
145,58,28,0.5483592814802343,0.29715545454545467
146,58,14,0.592257619010617,0.419372777623927
147,58,7,0.6562359905190372,0.35475584464555054
148,58,4,0.30825214237889553,0.48052062588904687
149,58,2,0.3141526367182593,0.48013306451612925
150,59,28,0.5242398693266502,0.40270239547038333
151,59,14,0.4109817594068269,0.4779220697541453
152,59,7,0.5060739060999608,0.3831913650075415
153,59,4,0.24860159708961416,0.3878834328688344
154,59,2,0.2884250621167187,0.4459512522361361
155,60,28,0.4916417047214521,0.40683573964497033
156,60,14,0.6453612392714707,0.4811791925465839
157,60,7,0.7127881246765067,0.35569857594936705
158,60,4,0.3441841650844324,0.2961274077512184
159,60,2,0.5636535574684061,0.5529704615384615
160,61,28,0.4368391378626052,0.43322756735129364
161,61,14,0.325456710891842,0.5203836887288842
162,61,7,0.400157055517421,0.29433474654377856
163,61,4,0.10534898617816346,0.32825735294117664
164,61,2,0.1775840336537058,0.5577705286839143
165,62,28,0.2930887736654795,0.40816750677506786
166,62,14,0.5033777028445701,0.5397994278831677
167,62,7,0.36663661024884386,0.31796304675716436
168,62,4,0.1455516706924499,0.34746984126984126
169,62,2,0.10779126752857449,0.5138896839594516
170,63,28,0.21588660036033103,0.3816244953416149
171,63,14,-0.2809106605556819,0.4270897983870967
172,63,7,0.6759892071490321,0.33842105263157896
173,63,4,0.22348282091598526,0.3923991228070175
174,63,2,0.46898932039272234,0.3439763040712469
